text	text ru/en	head	OR Filter 2	Regex String (OR)	text eng	text eng shortened	count
больница	больница	обстрел	True	(всу|обстрел)	hospital	hospital	3
шахта	шахта	обстрел	True	(всу|обстрел)	mine	mine	3
станция	станция	обстрел	True	(всу|обстрел)	station	station	3
храм	храм	обстрелять	True	(всу|обстрел)	temple	temple	3
ураган	ураган	обстрелять	True	(всу|обстрел)	Hurricane	hurricane	4
стаханов	стаханов	обстрел	True	(всу|обстрел)	Stakhanov	stakhanov	4
т	т	всу	True	(всу|обстрел)	t	t	4
храм	храм	обстрел	True	(всу|обстрел)	temple	temple	4
база	база	обстрелять	True	(всу|обстрел)	base	base	5
аэропорт	аэропорт	обстрелять	True	(всу|обстрел)	the airport	airport	5
вертолёт	вертолёт	обстрелять	True	(всу|обстрел)	helicopter	helicopter	8
военный	военный	обстрелять	True	(всу|обстрел)	military	military	10
военный	военный	обстрел	True	(всу|обстрел)	military	military	11
военный	военный	всу	True	(всу|обстрел)	military	military	24
всу	всу	обстрелять	True	(всу|обстрел)	Armed Forces	armed forces	29
всу	всу	обстрел	True	(всу|обстрел)	Armed Forces	armed forces	177
ракетный	ракетный	обстрел	True	(всу|обстрел)	missile	missile	13
сад	сад	обстрел	True	(всу|обстрел)	garden	garden	16
область	область	обстрел	True	(всу|обстрел)	region	region	19
донецк	донецк	обстрел	True	(всу|обстрел)	Donetsk	donetsk	41
всу	всу	обстреливать	True	(всу|обстрел)	Armed Forces	armed forces	2
всу	всу	артобстрел	True	(всу|обстрел)	Armed Forces	armed forces	2
донецк	донецк	обстреливать	True	(всу|обстрел)	Donetsk	donetsk	2
патрон	патрон	обстрелять	True	(всу|обстрел)	cartridge	cartridge	2
постоянный	постоянный	обстрел	True	(всу|обстрел)	constant	constant	2
обстрелянной	обстрелянной	всу	True	(всу|обстрел)	fired	fired	2
сад	сад	всу	True	(всу|обстрел)	garden	garden	2
гаубицами	гаубицами	всу	True	(всу|обстрел)	howitzers	howitzers	2
свет	свет	обстрел	True	(всу|обстрел)	light	light	2
ночной	ночной	обстрел	True	(всу|обстрел)	night	night	2
возможный	возможный	обстрел	True	(всу|обстрел)	possible	possible	2
точка	точка	обстрел	True	(всу|обстрел)	dot	dot	3
неонацист	неонацист	всу	True	(всу|обстрел)	Neo -Nazi	neo -nazi	5
россия	россия	обстреливать	True	(всу|обстрел)	Russia	russia	5
сад	сад	обстрелять	True	(всу|обстрел)	garden	garden	5
новый	новый	обстрел	True	(всу|обстрел)	new	new	5
пункт	пункт	обстрел	True	(всу|обстрел)	paragraph	paragraph	5
россия	россия	обстрелять	True	(всу|обстрел)	Russia	russia	2
сесть	сесть	обстрел	True	(всу|обстрел)	Sit down	sit down	2
сватово	сватово	обстрел	True	(всу|обстрел)	Svatovo	svatovo	2
горловка	горловка	обстрел	True	(всу|обстрел)	Gorlovka	gorlovka	4
миномётный	миномётный	обстрел	True	(всу|обстрел)	Mortary	mortary	4
машина	машина	обстрелять	True	(всу|обстрел)	car	car	4
зеленский	зеленский	всу	True	(всу|обстрел)	Zelensky	zelensky	5
мост	мост	обстрелять	True	(всу|обстрел)	bridge	bridge	5
силовик	силовик	обстрел	True	(всу|обстрел)	Silovik	silovik	6
разрушить	разрушить	всу	True	(всу|обстрел)	Destroy	destroy	2
обстрелять	обстрелять	всу	True	(всу|обстрел)	Firing	firing	2
нацбатов	нацбатов	всу	True	(всу|обстрел)	National Bans	national bans	2
змеиный	змеиный	всу	True	(всу|обстрел)	Snake	snake	2
зеленским	зеленским	всу	True	(всу|обстрел)	Zelensky	zelensky	2
зеленского	зеленского	всу	True	(всу|обстрел)	Zelensky	zelensky	2
мост	мост	всу	True	(всу|обстрел)	bridge	bridge	2
отступать	отступать	всу	True	(всу|обстрел)	retreat	retreat	2
рассыпаться	рассыпаться	всу	True	(всу|обстрел)	to crumble	crumble	2
посёлок	посёлок	всу	True	(всу|обстрел)	village	village	2
наёмник	наёмник	всу	True	(всу|обстрел)	mercenary	mercenary	3
область	область	всу	True	(всу|обстрел)	region	region	3
израиль	израиль	обстрелять	True	(всу|обстрел)	Israel	israel	3
ск	ск	обстрелять	True	(всу|обстрел)	SK	sk	3
район	район	обстрелять	True	(всу|обстрел)	area	area	3
интернат	интернат	обстрелять	True	(всу|обстрел)	boarding school	boarding school	3
погранкомитет	погранкомитет	обстрелять	True	(всу|обстрел)	border committee	border committee	3
побережье	побережье	обстрелять	True	(всу|обстрел)	coast	coast	3
заявить	заявить	обстрелять	True	(всу|обстрел)	declare	declare	3
получить	получить	обстреливать	True	(всу|обстрел)	get	get	3
север	север	обстрелять	True	(всу|обстрел)	north	north	3
область	область	обстрелять	True	(всу|обстрел)	region	region	3
рогатка	рогатка	обстрелять	True	(всу|обстрел)	slingshot	slingshot	3
нефтебаза	нефтебаза	обстрел	True	(всу|обстрел)	oil depot	oil depot	6
донецк	донецк	обстрелять	True	(всу|обстрел)	Donetsk	donetsk	7
мариуполь	мариуполь	обстрел	True	(всу|обстрел)	Mariupol	mariupol	7
против	против	всу	True	(всу|обстрел)	against	against	7
посёлок	посёлок	обстрел	True	(всу|обстрел)	village	village	7
силовик	силовик	обстрелять	True	(всу|обстрел)	Silovik	silovik	8
посёлок	посёлок	обстрелять	True	(всу|обстрел)	village	village	8
нефтебаза	нефтебаза	обстрелять	True	(всу|обстрел)	oil depot	oil depot	9
пункт	пункт	обстрелять	True	(всу|обстрел)	paragraph	paragraph	10
херсон	херсон	обстрел	True	(всу|обстрел)	Kherson	kherson	3
группа	группа	обстрелять	True	(всу|обстрел)	Group	group	2
молебен	молебен	обстрелять	True	(всу|обстрел)	Moleben	moleben	2
многоэтажка	многоэтажка	обстрелять	True	(всу|обстрел)	high -rise building	high -rise building	2
детсад	детсад	обстрелять	True	(всу|обстрел)	kindergarten	kindergarten	2
миномёт	миномёт	обстрелять	True	(всу|обстрел)	mortar	mortar	2
окраина	окраина	обстрелять	True	(всу|обстрел)	outskirts	outskirts	2
позиция	позиция	обстреливать	True	(всу|обстрел)	position	position	2
израиль	израиль	обстрел	True	(всу|обстрел)	Israel	israel	2
каховка	каховка	обстрел	True	(всу|обстрел)	Kakhovka	kakhovka	2
климово	климово	обстрел	True	(всу|обстрел)	Klimovo	klimovo	2
многоэтажка	многоэтажка	обстрел	True	(всу|обстрел)	high -rise building	high -rise building	2
изолятор	изолятор	обстрел	True	(всу|обстрел)	insulator	insulator	2
путь	путь	обстрел	True	(всу|обстрел)	path	path	2
сизо	сизо	обстрел	True	(всу|обстрел)	pre -trial detention center	pre -trial detention center	2
рогатка	рогатка	обстрел	True	(всу|обстрел)	slingshot	slingshot	2
группа	группа	обстрел	True	(всу|обстрел)	Group	group	3
район	район	обстрел	True	(всу|обстрел)	area	area	3
мост	мост	обстрел	True	(всу|обстрел)	bridge	bridge	3
машина	машина	обстрел	True	(всу|обстрел)	car	car	3
минирование	минирование	обстрел	True	(всу|обстрел)	mining	mining	3
порт	порт	обстрел	True	(всу|обстрел)	port	port	3
регулярный	регулярный	обстрел	True	(всу|обстрел)	regular	regular	3
попасть	попасть	всу	True	(всу|обстрел)	To get	to get	4
погибнуть	погибнуть	обстрелять	True	(всу|обстрел)	die	die	4
позиция	позиция	обстрелять	True	(всу|обстрел)	position	position	4
еленовке	еленовке	обстрел	True	(всу|обстрел)	Elena	elena	4
россия	россия	обстрел	True	(всу|обстрел)	Russia	russia	4
погранпункта	погранпункта	обстрел	True	(всу|обстрел)	border post	border post	4
атакованных	атакованных	всу	True	(всу|обстрел)	attacked	attacked	2
удерживать	удерживать	всу	True	(всу|обстрел)	hold	hold	2
ввс	ввс	обстрелять	True	(всу|обстрел)	Air Force	air force	2
автомобиль	автомобиль	обстрелять	True	(всу|обстрел)	automobile	automobile	2
точка	точка	обстрелять	True	(всу|обстрел)	dot	dot	2
беспилотник	беспилотник	обстрелять	True	(всу|обстрел)	drone	drone	2
больница	больница	обстрелять	True	(всу|обстрел)	hospital	hospital	2
число	число	обстрелять	True	(всу|обстрел)	number	number	2
служба	служба	обстрелять	True	(всу|обстрел)	service	service	2
фейк	фейк	обстрел	True	(всу|обстрел)	Fake	fake	2
украинских	украинских	обстрел	True	(всу|обстрел)	Ukrainian	ukrainian	2
артиллерия	артиллерия	обстрел	True	(всу|обстрел)	artillery	artillery	2
