text	text ru/en	head	OR Filter 2	Regex String (OR)	text eng	text eng shortened	count
китай	китай	нефть	True	(нефть)	China	china	2
восток	восток	газпромнефть	True	(нефть)	East	east	2
продовольствие	продовольствие	нефть	True	(нефть)	food	food	2
свободный	свободный	нефть	True	(нефть)	free	free	2
трудный	трудный	нефть	True	(нефть)	difficult	difficult	3
балтика	балтика	транснефть	True	(нефть)	Baltic	baltic	11
трубопроводный	трубопроводный	нефть	True	(нефть)	pipeline	pipeline	11
технология	технология	нефть	True	(нефть)	technology	technology	12
сырой	сырой	нефть	True	(нефть)	raw	raw	14
волга	волга	транснефть	True	(нефть)	Volga	volga	22
уголь	уголь	нефть	True	(нефть)	coal	coal	37
urals	urals	нефть	True	(нефть)	Urals	urals	52
brent	brent	нефть	True	(нефть)	Brent	brent	137
газ	газ	нефть	True	(нефть)	gas	gas	311
wti	wti	нефть	True	(нефть)	WTI	wti	8
сланцевый	сланцевый	нефть	True	(нефть)	Slantsy	slantsy	9
ноябрьскнефтегаз	ноябрьскнефтегаз	газпромнефть	True	(нефть)	Noyabrskneftegaz	noyabrskneftegaz	2
дисконт	дисконт	нефть	True	(нефть)	discount	discount	5
мир	мир	нефть	True	(нефть)	world	world	5
дорожать	дорожать	нефть	True	(нефть)	Dress	dress	6
дружба	дружба	гомельтранснефть	True	(нефть)	friendship	friendship	6
москва	москва	нефть	True	(нефть)	Moscow	moscow	3
росприроднадзор	росприроднадзор	нефть	True	(нефть)	Rosprirodnadzor	rosprirodnadzor	3
золото	золото	нефть	True	(нефть)	gold	gold	3
санкционный	санкционный	нефть	True	(нефть)	sanctions	sanctions	3
резервный	резервный	нефть	True	(нефть)	spare	spare	3
первый	первый	нефть	True	(нефть)	the first	first	3
два	два	нефть	True	(нефть)	two	two	3
ненужный	ненужный	нефть	True	(нефть)	unnecessary	unnecessary	3
год	год	нефть	True	(нефть)	year	year	3
русский	русский	нефть	True	(нефть)	Russian	russian	8
доллар	доллар	нефть	True	(нефть)	dollar	dollar	9
иранский	иранский	нефть	True	(нефть)	Iranian	iranian	10
сбербанк	сбербанк	нефть	True	(нефть)	Sberbank	sberbank	2
попасть	попасть	нефть	True	(нефть)	To get	to get	2
конденсат	конденсат	нефть	True	(нефть)	condensate	condensate	4
прикамье	прикамье	транснефть	True	(нефть)	Prikamye	prikamye	4
европа	европа	нефть	True	(нефть)	Europe	europe	4
опек	опек	нефть	True	(нефть)	OPEC	opec	4
ни	ни	нефть	True	(нефть)	Neither	neither	6
азербайджанский	азербайджанский	нефть	True	(нефть)	Azerbaijani	azerbaijani	2
башкирский	башкирский	нефть	True	(нефть)	Bashkir	bashkir	2
bloomberg	bloomberg	нефть	True	(нефть)	Bloomberg	bloomberg	2
hronika	hronika	нефть	True	(нефть)	Hronika	hronika	2
альтернатива	альтернатива	нефть	True	(нефть)	alternative	alternative	2
банк	банк	нефть	True	(нефть)	bank	bank	2
страна	страна	нефть	True	(нефть)	country	country	2
экспортный	экспортный	нефть	True	(нефть)	export	export	2
топливо	топливо	нефть	True	(нефть)	fuel	fuel	2
сми	сми	нефть	True	(нефть)	mass media	mass media	2
эталонный	эталонный	нефть	True	(нефть)	reference	reference	2
украсть	украсть	нефть	True	(нефть)	steal	steal	2
т	т	нефть	True	(нефть)	t	t	2
сорт	сорт	нефть	True	(нефть)	variety	variety	2
сша	сша	нефть	True	(нефть)	USA	usa	3
первый	первый	роснефть	True	(нефть)	the first	first	3
приволга	приволга	транснефть	True	(нефть)	Volga	volga	3
дружба	дружба	транснефть	True	(нефть)	friendship	friendship	3
дорогой	дорогой	нефть	True	(нефть)	expensive	expensive	23
сибирь	сибирь	транснефть	True	(нефть)	Siberia	siberia	25
рф	рф	нефть	True	(нефть)	RF	rf	31
против	против	нефть	True	(нефть)	against	against	32
россия	россия	нефть	True	(нефть)	Russia	russia	41
марка	марка	нефть	True	(нефть)	Mark	mark	62
российский	российский	нефть	True	(нефть)	Russian	russian	1380
восток	восток	транснефть	True	(нефть)	East	east	5
юани	юани	нефть	True	(нефть)	Yuani	yuani	5
прибыть	прибыть	нефть	True	(нефть)	Arrive	arrive	2
побольше	побольше	нефть	True	(нефть)	More	more	2
палеозойский	палеозойский	нефть	True	(нефть)	Paleozoic	paleozoic	2
месторождение	месторождение	нефть	True	(нефть)	field	field	2
грязный	грязный	нефть	True	(нефть)	filthy	filthy	2
металл	металл	нефть	True	(нефть)	metal	metal	2
рубль	рубль	нефть	True	(нефть)	ruble	ruble	2
санкция	санкция	нефть	True	(нефть)	sanction	sanction	2
оружие	оружие	нефть	True	(нефть)	weapon	weapon	2
нефтепродукт	нефтепродукт	нефть	True	(нефть)	oil product	oil product	11
дешёвый	дешёвый	нефть	True	(нефть)	cheap	cheap	15
хороший	хороший	роснефть	True	(нефть)	good	good	2
