text	text ru/en	count
японский	японский	13
япония	япония	35
юрий	юрий	4
энергосекторе	энергосекторе	2
энергоресурсы	энергоресурсы	11
энергоноситель	энергоноситель	4
энергетический	энергетический	7
энергетика	энергетика	13
эмбарго	эмбарго	10
элита	элита	9
экспортный	экспортный	10
экспорт	экспорт	6
экс	экс	4
экономический	экономический	45
экономика	экономика	48
эковас	эковас	2
штрафной	штрафной	2
штат	штат	2
шойгу	шойгу	6
член	член	18
чиновник	чиновник	20
человек	человек	4
чвк	чвк	3
часть	часть	3
цукерберг	цукерберг	3
центробанк	центробанк	5
центр	центр	5
цб	цб	16
хозяйство	хозяйство	2
харакири	харакири	2
фсб	фсб	3
фрг	фрг	3
форма	форма	2
финансовый	финансовый	22
физлиц	физлиц	11
фейки	фейки	3
ущерб	ущерб	2
усиление	усиление	2
урегулирование	урегулирование	3
уран	уран	8
упреждать	упреждать	2
умный	умный	3
украинские	украинские	4
украина	украина	73
удобрение	удобрение	13
угроза	угроза	6
уголь	уголь	3
угода	угода	2
тяжёлый	тяжёлый	11
тысяча	тысяча	4
турция	турция	2
турбина	турбина	3
транспортировка	транспортировка	3
транзитный	транзитный	2
транзит	транзит	2
транзакция	транзакция	2
точечный	точечный	3
токио	токио	7
титан	титан	4
телеканал	телеканал	24
тайвань	тайвань	2
сша	сша	515
сфера	сфера	16
суровый	суровый	6
судно	судно	4
структура	структура	2
строитель	строитель	7
строгий	строгий	2
страна	страна	34
сторонник	сторонник	2
стандарт	стандарт	8
спортсмен	спортсмен	3
спецоперация	спецоперация	3
спг	спг	2
сп	сп	25
сотрудничество	сотрудничество	4
совместный	совместный	3
совбез	совбез	2
собственный	собственный	27
снизить	снизить	2
снбо	снбо	2
смысл	смысл	2
случай	случай	3
слуцкий	слуцкий	2
следующий	следующий	2
скрыть	скрыть	4
ситуация	ситуация	2
система	система	2
сильный	сильный	5
сеть	сеть	2
серьёзный	серьёзный	6
сергей	сергей	2
сепаратист	сепаратист	9
семья	семья	3
сельхозпродукция	сельхозпродукция	2
сектор	сектор	28
связь	связь	2
сбербанк	сбербанк	43
сбера	сбера	12
сб	сб	2
санкция	санкция	5
самолёты	самолёты	2
ряд	ряд	13
рынок	рынок	3
рфпи	рфпи	8
русала	русала	2
руководство	руководство	24
руководитель	руководитель	2
рубль	рубль	3
рост	рост	4
россиянин	россиянин	27
росатома	росатома	2
родственник	родственник	5
республика	республика	3
ребёнок	ребёнок	2
реальный	реальный	2
разрушительный	разрушительный	3
разблокировка	разблокировка	4
работа	работа	3
пушок	пушок	2
путин	путин	147
против	против	92
производство	производство	2
продукция	продукция	4
продажа	продажа	2
причина	причина	2
причастный	причастный	2
принять	принять	4
призыв	призыв	2
признание	признание	23
признак	признак	2
премьер	премьер	4
президент	президент	8
предстоять	предстоять	2
представитель	представитель	8
председатель	председатель	3
предприятие	предприятие	8
предприниматель	предприниматель	2
предложение	предложение	2
предлагать	предлагать	4
превентивный	превентивный	31
правило	правило	2
поток	поток	57
потенциальный	потенциальный	4
потанин	потанин	4
поставка	поставка	18
последствие	последствие	2
поощрение	поощрение	2
помощь	помощь	7
польша	польша	2
польза	польза	2
полпред	полпред	2
полный	полный	9
политика	политика	4
политик	политик	6
покупка	покупка	14
позиция	позиция	3
поездка	поездка	3
поддержка	поддержка	8
подготовить	подготовить	2
песков	песков	2
персональный	персональный	30
переговоры	переговоры	2
переговорах	переговорах	2
первый	первый	11
пекин	пекин	2
патриарх	патриарх	15
парламентарий	парламентарий	5
пандемия	пандемия	2
очередной	очередной	18
оттавы	оттавы	2
оттава	оттава	3
отрасль	отрасль	20
относительно	относительно	3
отмена	отмена	2
открытие	открытие	4
отдельный	отдельный	2
ответный	ответный	51
ответ	ответ	3
оружие	оружие	2
организация	организация	4
опрос	опрос	3
оплата	оплата	2
операция	операция	5
оон	оон	5
олигарх	олигарх	4
окружение	окружение	4
окно	окно	2
односторонний	односторонний	37
ограничение	ограничение	5
объявить	объявить	3
обширный	обширный	2
оборонка	оборонка	2
область	область	3
обещать	обещать	2
новатэка	новатэка	2
нко	нко	2
никакой	никакой	5
нефтяной	нефтяной	19
нефть	нефть	38
нефтегазовый	нефтегазовый	2
несмотря	несмотря	48
неприятный	неприятный	2
