Date,text,event,Decription ,Source,santions,sanctions-general,sanctions-swift,sanctions-foreign,sanctions-nordstream,sanctions-gas,sanctions-food,cold_war_ii-nuclear,cold_war_ii-armament_pump,cold_war_ii-armament_suply,cold_war_ii-biolab,cold_war_ii-china,cold_war_ii-serb,cold_war_ii-belarus,cold_war_ii-colab-alies,nazi-general,nazi-denazification,nazi-mariupol,nazi-bucha,nazi-atrocity,nazi-rehabilitation,nazi-azov,nazi-azovstal,Protecting the Russian World,Ukrainian crisis,self-cleansing from public enemies,5 High-Precision,5 Provocation
2022.01.03,"Jan, 3.US, UK, Russia, France, and China adopted a joint statement to prevent a nuclear war.","The US, UK, Russia, France, and China have adopted a joint statement aimed at preventing a nuclear war",,https://www.euronews.com/2022/01/03/five-nuclear-weapons-states-pledge-to-stop-their-further-spread,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2022.01.13,"Jan,13. EU extends sanctions against Russia for failure to comply with peace settlement agreements with Ukraine",The European Union is extending sanctions on Russia for another six months for failing to meet its commitments to the Ukrainian peace deal.,"The measures target Russia’s financial, energy and defense sectors, as well as goods that can be used for both civilian and military purposes. The move is part of an ongoing review and is not linked to current tensions over Russia’s military buildup near Ukraine.",https://tekdeeps.com/the-european-union-is-extending-sanctions-on-russia/,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.01.17,"Jan, 17. EU and US move away from excluding Russia from global financial system: Germany insists on exemptions so that payment for gas and oil imports from Russia remains possible.",,,https://thefrontierpost.com/eu-and-united-states-move-away-from-excluding-russia-from-global-financial-system/,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2022.01.19,"Feb, 19. Russian Communist Party faction submitted to the State Duma a draft appeal to Vladimir Putin on the recognition of the DPR and LPR",The Communist Party faction submitted to the State Duma a draft appeal to Vladimir Putin on the recognition of the DPR and LPR,,https://interfax.com/newsroom/top-stories/73642/,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2022.01.20,"Jan, 20. Officials in Berlin has ruled out sending weapons to Ukraine",,,https://www.reuters.com/world/europe/germany-will-not-supply-weapons-kyiv-now-defence-minister-says-2022-01-22/,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
2022.01.20,"Jan, 20. U.S. assesses Russian retaliation potential should it be cut from SWIFT -senator",,,https://www.reuters.com/world/us/us-assesses-russian-retaliation-potential-should-it-be-cut-swift-senator-2022-01-20/,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2022.01.23,"Jan, 23. Biden administration is threatening to use a novel export control to damage strategic Russian industries, from artificial intelligence and quantum computing to civilian aerospace, if Moscow invades Ukraine",,,https://www.washingtonpost.com/national-security/2022/01/23/russia-ukraine-sanctions-export-controls/,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
2022.01.31,"Jan, 31. Xi Jinping and Vladimir Putin signed a joint statement calling on the West to “abandon the ideologised approaches of the cold war”","Putin visited China, negotiation with Xi",,https://www.theguardian.com/world/2022/feb/04/xi-jinping-meets-vladimir-putin-china-russia-tensions-grow-west,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
2022.02.15,"Feb, 15. The State Duma of Russia voted ""FOR"" an appeal to President Putin with a request to recognize the DPR and LPR","
The State Duma of Russia voted ""FOR"" an appeal to President Putin with a request to recognize the DNR and LNR","
The State Duma of Russia voted ""FOR"" an appeal to President Putin with a request to recognize the DNR and LNR",https://pia.ge/en/news/world/the-state-duma-of-russia-turned-to-putin-with-a-request-to-recognize-the-dnr-and-lnr,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
2022.02.15,"Feb, 15. Vladimir Putin called the events taking place in the Donbas a genocide after conversation with German Chancellor Olaf Scholz ",Putin called the events taking place in the Donbas a genocide,,https://www.telesurenglish.net/news/Putin-Labels-the-Current-Events-in-Donbass-a-Genocide-20220215-0015.html,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
